id,ox,oy,dx,dy,ori_cluster
0,438988.4762,4423586.827,441147.467,4419330.869,1
1,439080.5359,4423653.436,441105.7385,4419397.704,1
2,438958.9349,4423587.543,440931.0635,4419355.632,1
3,438953.7935,4423597.077,441126.015,4419328.539,1
4,438879.1663,4423596.492,441049.0184,4419323.267,1
5,439087.1761,4423658.892,441072.6698,4419352.226,1
6,438999.4307,4423642.768,441196.5693,4419330.153,1
7,438947.8724,4423636.979,441112.2655,4419388.725,1
8,438881.9836,4423654.327,441077.0482,4419350.89,1
9,439097.2623,4423613.518,441374.6732,4419393.237,1
10,438835.0715,4423630.174,441362.8458,4419388.829,1
11,438966.5321,4423586.795,441188.1682,4419312.988,1
12,438942.8402,4423580.28,441349.5859,4419306.327,1
13,438986.4668,4423585.318,441337.3546,4419364.196,1
14,439027.9037,4423610.282,441336.574,4419372.979,1
15,438888.1071,4423635.468,441070.7154,4419386.576,1
16,438925.566,4423589.646,441283.9662,4419395.229,1
17,439099.246,4423627.019,441006.2363,4419391.66,1
18,438883.7785,4423590.749,440964.4466,4419349.293,1
19,439030.6485,4423596.114,441327.8892,4419318.827,1
20,438968.3383,4423599.676,441127.6348,4419320.619,1
21,438838.3111,4423625.484,441230.2466,4419314.181,1
22,439024.7703,4423618.296,440911.9619,4419352.098,1
23,438974.9627,4423584.377,441224.389,4419357.797,1
24,439056.36,4423587.14,441225.742,4419320.791,1
25,438950.2537,4423646.518,441184.825,4419324.34,1
26,438867.3525,4423638.074,441256.3738,4419398.114,1
27,438919.5096,4423626.889,441177.9189,4419338.788,1
28,438976.2092,4423623.273,441333.2929,4419347.686,1
29,438843.9618,4423585.16,441366.4615,4419387.197,1
30,439001.8353,4423610.307,441197.1544,4419386.653,1
31,439043.729,4423596.87,440981.7997,4419318.522,1
32,438883.8272,4423608.708,441051.3089,4419307.327,1
33,439036.4027,4423653.901,441113.3247,4419341.153,1
34,438902.3444,4423654.331,441341.1318,4419350.165,1
35,438994.4058,4423607.366,441134.8592,4419324.821,1
36,439064.4479,4423624.41,440919.6637,4419362.804,1
37,439030.0379,4423653.185,441285.5421,4419361.148,1
38,438889.6401,4423605.404,441311.3548,4419377.467,1
39,438833.2779,4423584.676,441316.3835,4419393.873,1
40,438992.8076,4423601.362,441100.1517,4419323.634,1
41,438889.2303,4423607.037,441102.4587,4419355.537,1
42,438949.4927,4423642.644,441169.4281,4419364.773,1
43,439059.2043,4423598.764,441236.8508,4419356.362,1
44,439040.1104,4423590.522,441044.7344,4419305.092,1
45,439040.3537,4423632.668,441344.1912,4419355.191,1
46,438953.0805,4423609.582,441113.06,4419334.098,1
47,438860.5627,4423591.77,441139.6283,4419374.642,1
48,438956.7711,4423616.032,440914.8875,4419397.885,1
49,439082.5485,4423629.408,441273.5944,4419307.975,1
50,439026.0392,4423642.161,441231.4462,4419324.344,1
51,439033.4074,4423650.4,441024.6498,4419313.53,1
52,438948.1053,4423655.519,441289.0308,4419394.058,1
53,439089.6348,4423590.461,441318.4312,4419399.452,1
54,439076.6341,4423646.816,441326.2214,4419338.501,1
55,438853.6891,4423640.899,440975.9881,4419324.545,1
56,438878.6164,4423624.484,440959.444,4419358.139,1
57,438956.5108,4423618.903,441295.4083,4419347.215,1
58,438853.1443,4423645.479,441341.3147,4419312.39,1
59,439023.3281,4423602.766,441314.9555,4419359.783,1
60,438864.5365,4423585.012,440941.3015,4419365.27,1
61,439019.6036,4423647.482,441268.8564,4419361.4,1
62,439052.2062,4423656.289,441351.9167,4419363.912,1
63,438963.6583,4423652.678,441230.3967,4419370.172,1
64,439062.5335,4423637.794,440956.4061,4419395.207,1
65,439032.9985,4423601.507,441120.4485,4419328.15,1
66,438986.992,4423587.203,441265.7597,4419337.136,1
67,439004.1652,4423636.538,441247.7827,4419344.774,1
68,439058.7833,4423633.74,440902.9961,4419318.392,1
69,438941.1453,4423631.135,441034.1322,4419358.423,1
70,438822.8018,4423619.182,440983.9998,4419364.265,1
71,438965.9285,4423657.979,440969.6583,4419338.965,1
72,438854.3515,4423584.978,440997.7346,4419319.682,1
73,438919.1959,4423613.476,441014.5032,4419327.514,1
74,438963.4084,4423638.87,441013.1036,4419397.929,1
75,439025.3478,4423659.53,441034.0375,4419382.759,1
76,439008.9374,4423609.264,441152.4813,4419326.091,1
77,438897.1916,4423628.492,440939.2119,4419383.272,1
